ticker,name
PEP,"PepsiCo, Inc."
KO,The Coca-Cola Company
ABNB,"Airbnb, Inc."
PM,Philip Morris International Inc.
MO,"Altria Group, Inc."
NFLX,"Netflix, Inc."
TSLA,"Tesla, Inc."
LLY,Eli Lilly and Company
JNJ,Johnson & Johnson
PFE,Pfizer Inc.
NVAX,"Novavax, Inc."
MRNA,"Moderna, Inc."
UAL,"United Airlines Holdings, Inc."
DAL,"Delta Air Lines, Inc."
WMT,Walmart Inc.
COST,Costco Wholesale Corporation
DIS,The Walt Disney Company
SPG,"Simon Property Group, Inc."
O,Realty Income Corporation
CROX,"Crocs, Inc."
NKE,"NIKE, Inc."
